date,year,area_id,area_name,display_name,area,lat,lon,property_type,txn_count,median_pps,median_price,median_area_sqft
2022-03-01,2022,49,Al Merkadh,Meydan,Meydan,25.16,55.31,Land,148,13474.32,8978000.00,666.27
2022-03-01,2022,49,Al Merkadh,Meydan,Meydan,25.16,55.31,Unit,275,18171.37,1319605.00,72.62
2022-03-01,2022,79,Al Safouh Second,,Al Safouh Second,,,Unit,47,26573.48,3325140.00,125.13
2022-03-01,2022,82,Al Thanayah Fourth,The Greens & The Views,The Greens & The Views,25.09,55.17,Villa,47,8956.00,1545000.00,172.51
2022-03-01,2022,83,Al Thanyah Fifth,Jumeirah Lakes Towers,Jumeirah Lakes Towers,25.07,55.14,Unit,220,9774.06,850000.00,86.97
2022-03-01,2022,83,Al Thanyah Fifth,Jumeirah Lakes Towers,Jumeirah Lakes Towers,25.07,55.14,Villa,36,7918.28,6625000.00,836.51
2022-03-01,2022,84,Al Thanyah First,Emirates Hills,Emirates Hills,25.06,55.16,Unit,98,27737.49,765000.00,27.58
2022-03-01,2022,85,Al Thanyah Third,Barsha Heights (TECOM),Barsha Heights (TECOM),25.10,55.17,Unit,36,12759.32,1027500.00,80.78
2022-03-01,2022,85,Al Thanyah Third,Barsha Heights (TECOM),Barsha Heights (TECOM),25.10,55.17,Villa,10,11466.15,3517500.00,307.99
2022-03-01,2022,95,Al Warsan First,International City,International City,25.17,55.42,Unit,207,4719.10,210000.00,44.50
2022-03-01,2022,98,Al Wasl,Al Wasl (City Walk area),Al Wasl (City Walk area),25.20,55.26,Unit,237,19375.02,2420909.00,124.95
2022-03-01,2022,99,Al Yelayiss 1,Town Square (Al Yelayiss 1),Town Square (Al Yelayiss 1),25.00,55.30,Villa,25,7991.95,2700000.00,337.84
2022-03-01,2022,100,Al Yelayiss 2,Town Square,Town Square,25.00,55.29,Unit,12,7983.14,697500.00,87.52
2022-03-01,2022,100,Al Yelayiss 2,Town Square,Town Square,25.00,55.29,Villa,33,8932.26,1730000.00,193.68
2022-03-01,2022,102,Al Yufrah 1,,Al Yufrah 1,25.00,55.44,Villa,117,7696.05,1981888.00,257.52
2022-03-01,2022,103,Al Yufrah 2,DAMAC Lagoons / Al Yufrah 2,DAMAC Lagoons / Al Yufrah 2,24.96,55.38,Land,55,7804.70,876000.00,112.24
2022-03-01,2022,103,Al Yufrah 2,DAMAC Lagoons / Al Yufrah 2,DAMAC Lagoons / Al Yufrah 2,24.96,55.38,Villa,26,7588.02,1089500.00,143.52
2022-03-01,2022,104,Al Yufrah 3,Al Yufrah 3,Al Yufrah 3,24.96,55.38,Land,26,7624.79,1817060.00,238.69
2022-03-01,2022,104,Al Yufrah 3,Al Yufrah 3,Al Yufrah 3,24.96,55.38,Villa,10,7408.25,1295000.00,174.81
2022-03-01,2022,118,Burj Khalifa,Downtown Dubai,Downtown Dubai,25.19,55.28,Unit,451,24129.54,2280000.00,94.49
2022-03-01,2022,120,Business Bay,Business Bay,Business Bay,25.19,55.26,Unit,860,17190.56,1350500.00,78.55
2022-03-01,2022,122,Dubai Investment Park First,Dubai Investment Park 1,Dubai Investment Park 1,24.99,55.17,Unit,10,6729.37,1147500.00,167.10
2022-03-01,2022,122,Dubai Investment Park First,Dubai Investment Park 1,Dubai Investment Park 1,24.99,55.17,Villa,40,6458.35,884859.00,137.01
2022-03-01,2022,126,Hadaeq Sheikh Mohammed Bin Rashid,Mohammed Bin Rashid City,Mohammed Bin Rashid City,25.16,55.29,Land,40,11200.41,16577531.50,1477.57
2022-03-01,2022,126,Hadaeq Sheikh Mohammed Bin Rashid,Mohammed Bin Rashid City,Mohammed Bin Rashid City,25.16,55.29,Unit,163,16830.77,1150888.00,68.38
2022-03-01,2022,126,Hadaeq Sheikh Mohammed Bin Rashid,Mohammed Bin Rashid City,Mohammed Bin Rashid City,25.16,55.29,Villa,77,12593.70,3780000.00,300.15
2022-03-01,2022,133,Jabal Ali First,Discovery Gardens & The Gardens,Discovery Gardens & The Gardens,25.05,55.13,Land,77,6905.93,4448800.00,644.20
2022-03-01,2022,133,Jabal Ali First,Discovery Gardens & The Gardens,Discovery Gardens & The Gardens,25.05,55.13,Unit,122,9432.59,1006250.00,106.68
2022-03-01,2022,133,Jabal Ali First,Discovery Gardens & The Gardens,Discovery Gardens & The Gardens,25.05,55.13,Villa,23,10059.54,2450000.00,243.55
2022-03-01,2022,135,Jabal Ali Industrial Second,,Jabal Ali Industrial Second,,,Unit,32,11058.08,526489.50,47.78
2022-03-01,2022,138,Jumeirah First,Jumeirah 1,Jumeirah 1,25.22,55.26,Land,10,8365.59,8465850.00,1012.89
2022-03-01,2022,138,Jumeirah First,Jumeirah 1,Jumeirah 1,25.22,55.26,Unit,62,24230.75,1609500.00,66.43
2022-03-01,2022,144,Madinat Al Mataar,Dubai South,Dubai South,24.91,55.16,Unit,30,7553.97,788725.50,104.41
2022-03-01,2022,144,Madinat Al Mataar,Dubai South,Dubai South,24.91,55.16,Villa,116,5675.58,1500000.00,264.29
